103.10   0.079
103.11   0.061
103.12   0.049
103.13   0.045
103.14   0.027
103.15   0.052
103.16   0.120
103.16   0.070
103.17   0.137
103.18   0.119
103.19   0.057
103.20   0.033
103.21   0.074
103.22   0.040
103.23   0.073
103.23   0.059
103.24   0.070
103.25   0.058
103.26   0.069
103.27   0.091
103.28   0.139
103.29   0.147
103.29   0.136
103.30   0.105
103.31   0.076
103.32   0.082
103.33   0.089
103.34   0.021
103.35   0.041
103.36   0.062
103.36   0.097
103.37   0.100
103.38   0.114
103.39   0.122
103.40   0.129
103.41   0.115
103.42   0.128
103.42   0.116
103.43   0.136
103.44   0.131
103.45   0.132
103.46   0.159
103.47   0.162
103.48   0.079
103.49   0.098
103.49   0.153
103.50   0.126
103.51   0.133
103.52   0.124
103.53   0.102
103.54   0.102
103.55   0.103
103.55   0.104
103.56   0.136
103.57   0.074
103.58   0.115
103.59   0.132
103.60   0.120
103.61   0.142
103.62   0.169
103.62   0.181
103.63   0.196
103.64   0.155
103.65   0.114
103.66   0.046
103.67   0.056
103.68   0.055
103.68   0.046
103.69   0.046
103.70   0.066
103.71   0.049
103.72   0.039
103.73   0.051
103.74   0.081
103.74   0.045
103.75   0.022
103.76   0.053
103.77   0.048
103.78   0.111
103.79   0.065
103.80   0.070
103.81   0.045
103.81   0.077
103.82   0.083
103.83   0.080
103.84   0.074
103.85   0.113
103.86   0.088
103.87   0.062
103.87   0.083
103.88   0.077
103.89   0.092
103.90   0.080
103.91   0.075
103.92   0.072
103.93   0.059
103.94   0.091
103.94   0.058
103.95   0.080
103.96   0.115
103.97   0.096
103.98   0.109
103.99   0.087
104.00   0.099
104.00   0.076
104.01   0.086
104.02   0.094
104.03   0.110
104.04   0.109
104.05   0.120
104.06   0.116
104.07   0.101
104.07   0.113
104.08   0.092
104.09   0.082
104.10   0.071
104.11   0.063
104.12   0.062
104.13   0.147
104.13   0.094
104.14   0.089
104.15   0.051
104.16   0.080
104.17   0.059
104.18   0.076
104.19   0.143
104.20   0.118
104.20   0.124
104.21   0.100
104.22   0.126
104.23   0.119
104.24   0.076
104.25   0.086
104.26   0.046
104.26   0.080
104.27   0.100
104.28   0.098
104.29   0.103
104.30   0.132
104.31   0.116
104.32   0.110
104.33   0.114
104.33   0.093
104.34   0.138
104.35   0.129
104.36   0.165
104.37   0.149
104.38   0.070
104.39   0.149
104.39   0.228
104.40   0.238
104.41   0.077
104.42   0.043
104.43   0.089
104.44   0.094
104.45   0.092
104.46   0.054
104.46   0.058
104.47   0.098
104.48   0.068
104.49   0.104
104.50   0.107
104.51   0.124
104.52   0.129
104.52   0.100
104.53   0.133
104.54   0.120
104.55   0.139
104.56   0.105
104.57   0.096
104.58   0.108
104.59   0.055
104.59   0.070
