215
1976.4015255009108 9.0
1976.6255692167576 4.0
1976.8497267759562 8.5
1977.0739726027398 12.9
1977.295890410959 15.4
1977.5204337899543 12.2
1977.745091324201 15.2
1977.9698630136986 16.9
1978.194520547945 28.0
1978.4190639269407 19.4
1978.6409817351598 16.5
1978.8657534246574 45.4
1979.0904109589042 58.0
1979.3150684931506 73.4
1979.5396118721462 68.4
1979.7642694063927 73.4
1979.986301369863 68.9
1980.2103825136612 72.7
1980.4343123861568 29.2
1980.6583561020036 44.6
1980.8825136612022 50.9
1981.1041095890412 48.4
1981.3286529680365 41.7
1981.553310502283 30.2
1981.7779680365297 27.7
1982.0027397260274 41.4
1982.227397260274 41.5
1982.449200913242 51.5
1982.6738584474886 47.3
1982.8986301369864 22.3
1983.123287671233 26.3
1983.3478310502283 31.6
1983.572488584475 26.2
1983.794406392694 20.7
1984.01912568306 21.7
1984.2431693989072 26.3
1984.4670992714025 25.9
1984.6911429872496 23.5
1984.9153005464482 14.9
1985.13698630137 11.1
1985.3615296803653 6.9
1985.586187214612 6.3
1985.8108447488585 6.7
1986.035616438356 10.7
1986.2575342465752 10.3
1986.4820776255708 5.0
1986.7067351598173 3.2
1986.9315068493152 5.6
1987.1561643835616 7.3
1987.380707762557 11.4
1987.6026255707764 13.1
1987.827397260274 14.9
1988.051912568306 17.1
1988.2758424408014 22.3
1988.4998861566485 34.7
1988.7239298724955 28.3
1988.9453551912568 38.3
1989.1698630136987 49.1
1989.394406392694 74.9
1989.6190639269407 67.8
1989.8438356164384 73.5
1990.0684931506848 73.6
1990.290296803653 55.2
1990.5149543378996 72.0
1990.739611872146 74.4
1990.964383561644 40.9
1991.1890410958904 58.5
1991.4108447488584 50.7
1991.635502283105 51.3
1991.8602739726027 45.4
1992.0846994535518 21.0
1992.3086293260474 19.5
1992.5326730418944 25.3
1992.7539845173042 22.9
1992.9781420765028 34.6
1993.2027397260274 32.3
1993.4272831050228 22.9
1993.6519406392695 19.1
1993.876712328767 22.4
1994.0986301369862 26.7
1994.3231735159818 24.7
1994.5478310502283 13.2
1994.7724885844748 11.5
1994.9972602739726 14.4
1995.2219178082191 15.8
1995.4437214611871 12.0
1995.6683789954338 8.4
1995.8931506849315 7.9
1996.1174863387978 1.8
1996.3414162112933 4.6
1996.562727686703 2.9
1996.7867714025501 1.1
1997.0109589041097 11.9
1997.2356164383561 4.5
1997.4601598173515 1.8
1997.6848173515982 13.3
1997.9068493150685 2.9
1998.131506849315 17.9
1998.3560502283106 27.2
1998.580707762557 11.3
1998.8053652968038 31.3
1999.0301369863014 39.9
1999.2520547945205 52.1
1999.476598173516 74.9
1999.7012557077626 72.3
1999.9260273972602 69.9
2000.1502732240438 74.9
2000.371470856102 67.0
2000.595514571949 45.6
2000.819558287796 39.2
2001.0438356164384 9.8
2001.2683789954337 44.3
2001.4930365296805 52.3
2001.7149543378996 32.8
2001.9397260273972 40.8
2002.164383561644 40.0
2002.3889269406393 32.2
2002.6135844748858 37.5
2002.8383561643836 42.0
2003.0602739726028 55.8
2003.2848173515981 50.1
2003.5094748858448 42.8
2003.7341324200913 29.5
2003.958904109589 46.0
2004.1830601092897 34.6
2004.404257741348 33.6
2004.628301457195 26.8
2004.8524590163934 34.2
2005.0767123287671 26.6
2005.3012557077625 18.5
2005.5231735159816 23.8
2005.7478310502283 19.7
2005.972602739726 20.7
2006.1972602739727 25.0
2006.421803652968 15.0
2006.6464611872145 19.6
2006.868493150685 9.7
2007.0931506849315 19.4
2007.3176940639269 16.5
2007.5423515981736 8.8
2007.76700913242 13.0
2007.9917808219177 22.6
2008.2130009107468 25.3
2008.437044626594 15.8
2008.6610883424407 14.1
2008.8852459016393 10.7
2009.109589041096 17.4
2009.3341324200912 10.5
2009.5560502283106 6.3
2009.780707762557 1.1
2010.0054794520547 22.2
2010.2300228310503 22.3
2010.4546803652968 22.3
2010.676598173516 35.1
2010.9013698630138 24.1
2011.1260273972603 38.1
2011.3505707762556 42.8
2011.5752283105023 45.6
2011.7998858447488 48.3
2012.0218579234972 48.9
2012.2457877959928 43.7
2012.4698315118396 66.1
2012.6938752276867 59.3
2012.9180327868853 73.9
2013.1424657534246 73.6
2013.3642694063926 60.8
2013.5889269406393 64.2
2013.8135844748858 57.6
2014.0383561643835 58.0
2014.262899543379 46.5
2014.4875570776255 27.3
2014.7094748858447 60.0
2014.9342465753425 53.7
2015.158904109589 37.4
2015.3834474885846 34.5
2015.608105022831 25.4
2015.8300228310502 28.3
2016.0546448087432 32.4
2016.2785746812385 22.6
2016.5026183970856 24.9
2016.7266621129327 27.3
2016.950819672131 22.8
2017.172602739726 14.4
2017.3971461187214 10.8
2017.621803652968 10.1
2017.8465753424657 10.9
2018.0712328767124 11.3
2018.2957762557078 6.6
2018.517694063927 11.6
2018.7423515981736 7.6
2018.9671232876713 8.3
2019.1916666666666 9.3
2019.4163242009133 6.5
2019.6409817351598 4.7
2019.86301369863 4.8
2020.0874316939892 4.8
2020.3113615664845 2.4
2020.5354052823316 5.5
2020.7594489981784 11.5
2020.98087431694 12.4
2021.2053652968036 14.0
2021.4300228310503 9.6
2021.6546803652968 15.1
2021.8794520547945 22.4
2022.1041095890412 33.7
2022.3259132420092 59.0
2022.5505707762557 73.8
2022.7752283105024 75.1
2023.0 73.5
2023.2245433789953 74.2
2023.449200913242 69.2
2023.6711187214612 74.9
2023.8958904109588 53.7
2024.120218579235 66.9
2024.3441484517305 63.0
