2.007000000000000000e+03 1.439407364639999909e-01 4.565327339999998742e-03
2.007142466000000013e+03 1.548217361039999906e-01 4.882111819199999245e-03
2.007284932000000026e+03 1.664168538479999793e-01 4.798546300799998512e-03
2.007427396999999928e+03 1.664038575360000105e-01 3.965251701599999817e-03
2.007569862999999941e+03 1.676454141600000058e-01 4.449023980799999244e-03
2.007712328999999954e+03 1.810653104400000157e-01 5.374864051199999132e-03
2.007854794999999967e+03 1.842446091359999649e-01 5.199468203999999677e-03
2.007997260000000097e+03 1.818065731439999777e-01 5.155044014399999541e-03
2.008139343999999937e+03 1.942619876399999945e-01 5.434208824800000268e-03
2.008281420999999909e+03 1.879013740799999888e-01 4.528063259999999535e-03
2.008423496999999998e+03 1.902937249919999796e-01 4.801438672799998759e-03
2.008565573999999970e+03 1.975935534719999997e-01 5.358059196000000170e-03
2.008707650000000058e+03 2.035021600079999771e-01 6.019539136799998379e-03
2.008849727000000030e+03 2.082761886239999916e-01 6.067852408800000243e-03
2.008991802999999891e+03 2.212184835839999808e-01 7.756655608799999449e-03
2.009134246999999959e+03 2.221015893600000179e-01 6.747101793599999224e-03
2.009276712000000089e+03 2.159393940479999996e-01 5.855486565600000019e-03
2.009419178000000102e+03 2.153905926479999788e-01 5.201275934399999211e-03
2.009561643999999887e+03 2.161913031599999868e-01 5.306635807199999201e-03
2.009704109999999901e+03 2.075174374560000146e-01 5.246200696799999119e-03
2.009846575000000030e+03 2.110566180239999978e-01 5.380673726399999059e-03
2.009989041000000043e+03 2.123349132239999715e-01 5.211557097599999605e-03
2.010131507000000056e+03 2.119712493359999506e-01 5.484150151199998838e-03
2.010273973000000069e+03 2.149564567920000113e-01 8.237841494399999326e-03
2.010416437999999971e+03 2.260835755919999857e-01 5.594859832799999738e-03
2.010558903999999984e+03 2.361017880479999442e-01 5.985641625599999634e-03
2.010701369999999997e+03 2.425503719519999934e-01 6.719058628799999024e-03
2.010843836000000010e+03 2.448152172479999833e-01 8.062832887199998175e-03
2.010986300999999912e+03 2.582083724639999689e-01 8.626485285599998221e-03
2.011128766999999925e+03 2.775161886000000466e-01 9.248205287999997776e-03
2.011271232999999938e+03 2.960060856480000169e-01 9.300191006399999641e-03
2.011413698999999951e+03 2.945671706880000351e-01 8.505980851199997431e-03
2.011556164000000081e+03 2.996937024479999767e-01 8.708111059199998352e-03
2.011698630000000094e+03 3.028360142639999752e-01 9.452108416799999760e-03
