#Voyager-2 (52 day average)
#130.544 - 151.511 MeV/n Helium flux derived from IIP
#151.511 - 185.250 MeV/n Helium flux derived from IIP
#185.250 - 244.873 MeV/n Helium flux derived from IIP
#244.873 - 276.472 MeV/n Helium flux derived from IIP
#276.472 - 373.755 MeV/n Helium flux derived from IIP
#373.755 - 458.807 MeV/n Helium flux derived from IIP
2010.416438 8.374e-01  2.602e-02   1036 8.032e-01  2.009e-02   1599 7.592e-01  1.469e-02   2671 6.559e-01  1.876e-02   1223 5.768e-01  1.002e-02   3311 4.705e-01  9.682e-03   2361
2010.558904 9.220e-01  2.905e-02   1007 8.125e-01  2.150e-02   1428 7.399e-01  1.543e-02   2298 6.543e-01  1.994e-02   1077 5.960e-01  1.084e-02   3020 4.866e-01  1.048e-02   2156
2010.701370 9.069e-01  3.208e-02    799 8.563e-01  2.458e-02   1214 7.759e-01  1.760e-02   1944 6.522e-01  2.216e-02    866 6.199e-01  1.231e-02   2534 5.165e-01  1.202e-02   1846
2010.843836 9.649e-01  3.929e-02    603 8.284e-01  2.870e-02    833 7.839e-01  2.100e-02   1393 6.095e-01  2.544e-02    574 6.111e-01  1.452e-02   1772 5.140e-01  1.424e-02   1303
2010.986301 9.416e-01  4.056e-02    539 8.674e-01  3.069e-02    799 8.140e-01  2.236e-02   1325 7.488e-01  2.946e-02    646 6.024e-01  1.506e-02   1600 5.478e-01  1.536e-02   1272
2011.128767 9.353e-01  4.243e-02    486 9.281e-01  3.332e-02    776 7.905e-01  2.313e-02   1168 7.125e-01  3.016e-02    558 6.728e-01  1.670e-02   1622 5.560e-01  1.624e-02   1172
2011.271233 1.086e+00  4.502e-02    582 9.487e-01  3.317e-02    818 8.388e-01  2.346e-02   1278 7.145e-01  2.975e-02    577 6.910e-01  1.667e-02   1718 5.995e-01  1.661e-02   1303
2011.413699 1.059e+00  4.084e-02    672 9.369e-01  3.029e-02    957 8.166e-01  2.127e-02   1474 7.359e-01  2.773e-02    704 7.042e-01  1.546e-02   2074 5.786e-01  1.499e-02   1490
2011.556164 1.049e+00  4.119e-02    648 9.604e-01  3.108e-02    955 8.843e-01  2.243e-02   1554 7.902e-01  2.913e-02    736 7.003e-01  1.563e-02   2008 5.736e-01  1.513e-02   1438
2011.698630 1.096e+00  4.541e-02    583 1.002e+00  3.421e-02    857 8.935e-01  2.431e-02   1351 7.849e-01  3.130e-02    629 6.716e-01  1.650e-02   1657 6.069e-01  1.677e-02   1309
2011.841096 1.219e+00  5.850e-02    434 1.010e+00  4.199e-02    579 9.380e-01  3.043e-02    950 6.838e-01  3.569e-02    367 7.365e-01  2.111e-02   1217 6.520e-01  2.124e-02    942
2011.983562 1.125e+00  5.858e-02    369 1.061e+00  4.485e-02    560 8.644e-01  3.045e-02    806 7.912e-01  4.001e-02    391 6.928e-01  2.134e-02   1054 5.646e-01  2.060e-02    751
2012.125683 1.055e+00  5.414e-02    380 1.068e+00  4.294e-02    619 9.278e-01  3.010e-02    950 7.223e-01  3.648e-02    392 7.033e-01  2.052e-02   1175 5.908e-01  2.011e-02    863
2012.267760 1.160e+00  4.853e-02    571 1.046e+00  3.634e-02    829 8.412e-01  2.451e-02   1178 8.004e-01  3.284e-02    594 7.454e-01  1.806e-02   1703 5.862e-01  1.713e-02   1171
2012.409836 1.144e+00  5.148e-02    494 1.015e+00  3.822e-02    705 9.351e-01  2.760e-02   1148 7.546e-01  3.405e-02    491 7.313e-01  1.911e-02   1465 5.835e-01  1.825e-02   1022
2012.551913 1.161e+00  4.891e-02    563 1.008e+00  3.594e-02    787 8.968e-01  2.550e-02   1237 7.865e-01  3.280e-02    575 7.295e-01  1.800e-02   1642 6.180e-01  1.772e-02   1216
2012.693989 9.925e-01  5.092e-02    380 9.788e-01  3.986e-02    603 8.735e-01  2.832e-02    951 8.440e-01  3.825e-02    487 7.132e-01  2.004e-02   1267 5.885e-01  1.947e-02    914
2012.836066 9.417e-01  5.568e-02    286 9.863e-01  4.492e-02    482 8.673e-01  3.169e-02    749 7.669e-01  4.093e-02    351 6.834e-01  2.202e-02    963 5.658e-01  2.143e-02    697
2012.978142 1.018e+00  5.691e-02    320 9.786e-01  4.399e-02    495 9.218e-01  3.211e-02    824 7.367e-01  3.943e-02    349 6.507e-01  2.112e-02    949 5.835e-01  2.139e-02    744
2013.120548 1.023e+00  5.523e-02    343 9.971e-01  4.299e-02    538 9.061e-01  3.083e-02    864 7.401e-01  3.827e-02    374 7.238e-01  2.157e-02   1126 5.823e-01  2.069e-02    792
2013.263014 1.092e+00  3.996e-02    747 1.050e+00  3.089e-02   1156 8.550e-01  2.097e-02   1663 8.158e-01  2.813e-02    841 7.024e-01  1.488e-02   2229 5.810e-01  1.447e-02   1612
2013.405479 1.042e+00  3.509e-02    882 1.013e+00  2.727e-02   1379 9.042e-01  1.938e-02   2176 7.763e-01  2.467e-02    990 7.098e-01  1.345e-02   2787 5.931e-01  1.314e-02   2036
