#Voyager-2 (52 day average)
#130.339 - 154.217 MeV/n Hydrogen flux derived from IPH
#154.217 - 171.338 MeV/n Hydrogen flux derived from IPH
#171.338 - 193.643 MeV/n Hydrogen flux derived from IPH
#193.643 - 208.152 MeV/n Hydrogen flux derived from IPH
#208.152 - 245.690 MeV/n Hydrogen flux derived from IPH
#245.690 - 272.300 MeV/n Hydrogen flux derived from IPH
#272.300 - 344.010 MeV/n Hydrogen flux derived from IPH
2009.989041 7.501e+00  1.903e-01   1554 6.611e+00  2.110e-01    982 5.979e+00  1.758e-01   1157 6.093e+00  2.200e-01    767 5.769e+00  1.331e-01   1879 5.289e+00  1.514e-01   1221 5.474e+00  9.380e-02   3406
2010.131507 7.498e+00  2.004e-01   1400 6.514e+00  2.206e-01    872 6.106e+00  1.871e-01   1065 5.959e+00  2.292e-01    676 5.931e+00  1.422e-01   1741 5.186e+00  1.579e-01   1079 5.409e+00  9.822e-02   3033
2010.273973 7.531e+00  2.991e-01    634 7.091e+00  3.427e-01    428 6.447e+00  2.863e-01    507 6.295e+00  3.508e-01    322 6.045e+00  2.137e-01    800 4.850e+00  2.274e-01    455 5.399e+00  1.461e-01   1365
2010.416438 8.002e+00  2.048e-01   1526 7.174e+00  2.290e-01    981 6.758e+00  1.948e-01   1204 5.799e+00  2.237e-01    672 6.331e+00  1.453e-01   1898 5.359e+00  1.588e-01   1139 5.811e+00  1.007e-01   3328
2010.558904 8.506e+00  2.204e-01   1489 7.298e+00  2.411e-01    916 7.112e+00  2.086e-01   1163 6.816e+00  2.531e-01    725 6.657e+00  1.555e-01   1832 5.552e+00  1.687e-01   1083 5.887e+00  1.058e-01   3095
2010.701370 9.131e+00  2.527e-01   1306 7.469e+00  2.699e-01    766 7.372e+00  2.349e-01    985 6.685e+00  2.774e-01    581 6.809e+00  1.740e-01   1531 5.960e+00  1.934e-01    950 5.888e+00  1.171e-01   2529
2010.843836 8.624e+00  2.937e-01    862 8.065e+00  3.355e-01    578 7.497e+00  2.834e-01    700 6.290e+00  3.218e-01    382 6.778e+00  2.077e-01   1065 6.078e+00  2.336e-01    677 6.116e+00  1.427e-01   1836
2010.986301 9.496e+00  3.201e-01    880 8.277e+00  3.529e-01    550 7.902e+00  3.021e-01    684 7.441e+00  3.635e-01    419 7.118e+00  2.210e-01   1037 6.420e+00  2.493e-01    663 6.223e+00  1.495e-01   1732
2011.128767 1.028e+01  3.445e-01    891 9.495e+00  3.909e-01    590 8.598e+00  3.259e-01    696 7.748e+00  3.836e-01    408 7.451e+00  2.339e-01   1015 6.638e+00  2.622e-01    641 6.740e+00  1.609e-01   1754
2011.271233 1.132e+01  3.521e-01   1033 9.762e+00  3.862e-01    639 9.311e+00  3.304e-01    794 8.509e+00  3.916e-01    472 7.776e+00  2.328e-01   1116 6.802e+00  2.586e-01    692 7.258e+00  1.627e-01   1990
2011.413699 1.127e+01  3.218e-01   1227 1.006e+01  3.590e-01    785 9.156e+00  3.001e-01    931 8.376e+00  3.559e-01    554 7.819e+00  2.138e-01   1338 6.917e+00  2.388e-01    839 7.094e+00  1.473e-01   2319
2011.556164 1.140e+01  3.284e-01   1206 1.079e+01  3.772e-01    818 9.009e+00  3.020e-01    890 8.419e+00  3.620e-01    541 8.120e+00  2.210e-01   1350 7.034e+00  2.443e-01    829 7.138e+00  1.499e-01   2267
2011.698630 1.151e+01  3.561e-01   1044 1.013e+01  3.946e-01    659 9.428e+00  3.335e-01    799 9.033e+00  4.048e-01    498 8.252e+00  2.405e-01   1177 7.002e+00  2.632e-01    708 7.208e+00  1.626e-01   1964
